epoch	loss	output_1_f1_score	output_1_loss	output_2_f1_score	output_2_loss	val_loss	val_output_1_f1_score	val_output_1_loss	val_output_2_f1_score	val_output_2_loss
0	3.3663570880889893	0.1330714225769043	2.609313488006592	0.39845454692840576	0.7569090127944946	2.370696783065796	0.2549374997615814	1.93943452835083	0.523187518119812	0.43112707138061523
1	2.383723497390747	0.2712402641773224	1.9099167585372925	0.5131753087043762	0.4736715257167816	1.9177111387252808	0.43062499165534973	1.5084995031356812	0.5756875276565552	0.40907666087150574
2	1.6373604536056519	0.4822727143764496	1.2518233060836792	0.5972921848297119	0.3854018449783325	0.9604524970054626	0.7083749771118164	0.6859112977981567	0.7555625438690186	0.2744053602218628
3	0.806499719619751	0.7261103391647339	0.5820920467376709	0.7760454416275024	0.2242709994316101	0.35585060715675354	0.8650000095367432	0.2668967843055725	0.909500002861023	0.08881637454032898
4	0.3960670828819275	0.8508181571960449	0.2832820415496826	0.886655867099762	0.11264698207378387	0.1717999279499054	0.9424375295639038	0.11780910938978195	0.9467499852180481	0.053852081298828125
5	0.2495192587375641	0.9072337746620178	0.17010806500911713	0.9238701462745667	0.07927190512418747	0.12041069567203522	0.9583125114440918	0.07944625616073608	0.9648749828338623	0.04082472622394562
6	0.1847214698791504	0.9338377118110657	0.12110906094312668	0.9410779476165771	0.06347223371267319	0.09872893989086151	0.9649375081062317	0.06292763352394104	0.9703750014305115	0.03566071018576622
7	0.15046949684619904	0.9468831419944763	0.09698560833930969	0.9519025683403015	0.05334301292896271	0.08427046984434128	0.9698749780654907	0.05177391692996025	0.9740625023841858	0.032355308532714844
8	0.1274692863225937	0.9555974006652832	0.08057758212089539	0.9589415788650513	0.04675019532442093	0.07809563726186752	0.9701874852180481	0.0475769117474556	0.9749374985694885	0.030376922339200974
9	0.11166998744010925	0.9609610438346863	0.06961501389741898	0.9636558294296265	0.04191291332244873	0.07248438149690628	0.9727500081062317	0.04412434250116348	0.9772499799728394	0.02821768820285797
10	0.10142216831445694	0.9644285440444946	0.06317106634378433	0.9673701524734497	0.03810850903391838	0.06638889759778976	0.9745000004768372	0.040076278150081635	0.9787499904632568	0.0261697918176651
11	0.09204625338315964	0.9677857160568237	0.05655163154006004	0.9697012901306152	0.03535156697034836	0.06299387663602829	0.9754375219345093	0.03781675919890404	0.9794999957084656	0.02503380924463272
12	0.08374795317649841	0.9705649614334106	0.05105285719037056	0.9720519185066223	0.03255155310034752	0.06500978022813797	0.9760000109672546	0.038191504776477814	0.9777500033378601	0.02667444944381714
13	0.07921168953180313	0.9715909361839294	0.04833340272307396	0.9731429219245911	0.030734257772564888	0.06035405769944191	0.9771249890327454	0.03542414680123329	0.9793124794960022	0.024785615503787994
14	0.07371611148118973	0.973409116268158	0.0447530671954155	0.974227249622345	0.028818530961871147	0.05599627643823624	0.9785624742507935	0.03330906853079796	0.9809374213218689	0.02254246361553669
15	0.06841006875038147	0.9753831028938293	0.04099033772945404	0.97594153881073	0.02727474644780159	0.056932590901851654	0.9776874780654907	0.03367186710238457	0.9799374938011169	0.023115528747439384
16	0.06391388177871704	0.9765259623527527	0.03844592347741127	0.9771233797073364	0.02532251365482807	0.05214707925915718	0.979812502861023	0.03070179559290409	0.9815000295639038	0.021299656480550766
17	0.061482079327106476	0.977266252040863	0.036475587636232376	0.9783117175102234	0.02486061304807663	0.0532640777528286	0.9804375171661377	0.03161247819662094	0.9818750023841858	0.021505506709218025
18	0.060108285397291183	0.9777922034263611	0.03567119315266609	0.9784805178642273	0.024290749803185463	0.05338716134428978	0.9794999957084656	0.03142837435007095	0.9810000061988831	0.021812206134200096
19	0.054912019520998	0.9793246984481812	0.032322268933057785	0.9794090986251831	0.022442946210503578	0.052880555391311646	0.979562520980835	0.031102973967790604	0.9803749918937683	0.021630529314279556
20	0.05200102552771568	0.9800259470939636	0.03076087310910225	0.9807338118553162	0.021092891693115234	0.048264794051647186	0.9816250205039978	0.028970690444111824	0.9823750257492065	0.01914658397436142
21	0.051705796271562576	0.9805389642715454	0.03051230125129223	0.9812467694282532	0.021045763045549393	0.04773877561092377	0.9816250205039978	0.028022760525345802	0.9816874861717224	0.01956804282963276
22	0.04863268509507179	0.9811558723449707	0.028337528929114342	0.9815259575843811	0.020146923139691353	0.04646168276667595	0.9819999933242798	0.02718474715948105	0.9825000166893005	0.019128479063510895
23	0.045938700437545776	0.9820713996887207	0.026802565902471542	0.9822922348976135	0.01898743212223053	0.04650093987584114	0.9816874861717224	0.027420934289693832	0.9829999804496765	0.018931077793240547
24	0.043923281133174896	0.9827662110328674	0.02574216015636921	0.9832987189292908	0.018031926825642586	0.045829545706510544	0.9816250205039978	0.026468550786376	0.9834374785423279	0.019211534410715103
25	0.043418027460575104	0.9831818342208862	0.02503075823187828	0.9829675555229187	0.018237575888633728	0.046785421669483185	0.9825000166893005	0.027672210708260536	0.9829999804496765	0.018963268026709557
26	0.03995075449347496	0.984006404876709	0.02305000089108944	0.9841558337211609	0.016750548034906387	0.045555662363767624	0.9829999804496765	0.026898855343461037	0.9835000038146973	0.018506349995732307
27	0.038359083235263824	0.9849156141281128	0.021826473996043205	0.984415590763092	0.016381917521357536	0.047102682292461395	0.9825000166893005	0.028173018246889114	0.984000027179718	0.018778732046484947
28	0.03821258991956711	0.9851298928260803	0.021659402176737785	0.9840259552001953	0.016402004286646843	0.0452740341424942	0.9832500219345093	0.02629593200981617	0.9834374785423279	0.018826669082045555
29	0.03628816828131676	0.9852077960968018	0.02054613083600998	0.9847012758255005	0.015590348280966282	0.045458268374204636	0.9833750128746033	0.026871416717767715	0.984125018119812	0.01843491569161415
