epoch	loss	output_1_f1_score	output_1_loss	output_2_f1_score	output_2_loss	val_loss	val_output_1_f1_score	val_output_1_loss	val_output_2_f1_score	val_output_2_loss
0	3.332827568054199	0.1190878376364708	2.608156442642212	0.39204731583595276	0.7245360016822815	2.398573637008667	0.21581250429153442	1.9470202922821045	0.4741249978542328	0.45141834020614624
1	2.383495807647705	0.2491486519575119	1.9252052307128906	0.4973716139793396	0.4581557810306549	2.0023980140686035	0.3618750274181366	1.565992832183838	0.5121250152587891	0.4362702965736389
2	1.7251005172729492	0.4310067594051361	1.3242645263671875	0.5710811018943787	0.4007003605365753	1.108635425567627	0.6306250095367432	0.7828461527824402	0.6648125052452087	0.3256532549858093
3	0.9102605581283569	0.6635338068008423	0.6740243434906006	0.747905433177948	0.23609952628612518	0.818367063999176	0.7989374995231628	0.6120442152023315	0.8517500162124634	0.206185445189476
4	0.44798338413238525	0.8184391856193542	0.32982879877090454	0.8717703223228455	0.11801627278327942	0.1780504435300827	0.9374374747276306	0.12481768429279327	0.9491249918937683	0.05309385061264038
5	0.2723311483860016	0.8925135135650635	0.18978558480739594	0.9138107895851135	0.08240614831447601	0.12329308688640594	0.9559375047683716	0.08168885856866837	0.9621875286102295	0.04146431386470795
6	0.19498707354068756	0.9254053831100464	0.13052058219909668	0.9349324107170105	0.06432612985372543	0.10479044169187546	0.9623125195503235	0.06756754219532013	0.9661874771118164	0.03708215430378914
7	0.15572240948677063	0.942506730556488	0.10164032876491547	0.948155403137207	0.05394098162651062	0.08684497326612473	0.9674999713897705	0.0558043010532856	0.9720625281333923	0.030899209901690483
8	0.12976650893688202	0.952736496925354	0.08276049792766571	0.9563784003257751	0.04686423018574715	0.07860900461673737	0.9700000286102295	0.05013898015022278	0.9753124713897705	0.02832798846065998
9	0.11164660006761551	0.9595472812652588	0.07058165967464447	0.9625810980796814	0.040922604501247406	0.7116265892982483	0.9166250228881836	0.5174451470375061	0.9357500076293945	0.19403889775276184
10	0.10029332339763641	0.9637500047683716	0.06344760209321976	0.9669459462165833	0.03670284524559975	0.06868957728147507	0.9723749756813049	0.04266401380300522	0.9755625128746033	0.025882430374622345
11	0.08999726921319962	0.9668310880661011	0.056073084473609924	0.9689932465553284	0.03378080576658249	0.06461786478757858	0.9738749861717224	0.04029439017176628	0.9776874780654907	0.02417987398803234
12	0.08100771903991699	0.9700067639350891	0.05043332278728485	0.9725202918052673	0.030430546030402184	0.06128731369972229	0.976687490940094	0.03682416304945946	0.9764999747276306	0.024319060146808624
13	0.07639551907777786	0.9712499976158142	0.04745607450604439	0.9739729762077332	0.028795115649700165	0.05857966095209122	0.9772499799728394	0.03596236929297447	0.9782500267028809	0.022472716867923737
14	0.06991573423147202	0.973581075668335	0.043075479567050934	0.9756013751029968	0.026695450767874718	0.05618225410580635	0.9778125286102295	0.03447216376662254	0.9793124794960022	0.021565083414316177
